time,subject,fuzzer,run,cov_type,cov
1761459643,lightftp,aflnet,2,b_abs,301
1761459836,lightftp,aflnet,2,l_per,57.2
1761459836,lightftp,aflnet,2,l_abs,645
1761459836,lightftp,aflnet,2,b_per,38.5
1761459836,lightftp,aflnet,2,b_abs,301
1761459874,lightftp,aflnet,2,l_per,57.4
1761459874,lightftp,aflnet,2,l_abs,648
1761459874,lightftp,aflnet,2,b_per,38.7
1761459874,lightftp,aflnet,2,b_abs,303
1761459996,lightftp,aflnet,2,l_per,57.7
1761459996,lightftp,aflnet,2,l_abs,651
1761459996,lightftp,aflnet,2,b_per,38.9
1761459996,lightftp,aflnet,2,b_abs,304
1761460184,lightftp,aflnet,2,l_per,57.9
1761460184,lightftp,aflnet,2,l_abs,653
1761460184,lightftp,aflnet,2,b_per,39.1
1761460184,lightftp,aflnet,2,b_abs,306
1761460239,lightftp,aflnet,2,l_per,57.9
1761460239,lightftp,aflnet,2,l_abs,653
1761460239,lightftp,aflnet,2,b_per,39.1
1761460239,lightftp,aflnet,2,b_abs,306
1761460352,lightftp,aflnet,2,l_per,57.9
1761460352,lightftp,aflnet,2,l_abs,653
1761460352,lightftp,aflnet,2,b_per,39.1
1761460352,lightftp,aflnet,2,b_abs,306
1761460430,lightftp,aflnet,2,l_per,58.0
1761460430,lightftp,aflnet,2,l_abs,654
1761460430,lightftp,aflnet,2,b_per,39.3
1761460430,lightftp,aflnet,2,b_abs,307
1761460508,lightftp,aflnet,2,l_per,61.4
1761460508,lightftp,aflnet,2,l_abs,693
1761460508,lightftp,aflnet,2,b_per,41.2
1761460508,lightftp,aflnet,2,b_abs,322
1761460590,lightftp,aflnet,2,l_per,61.7
1761460590,lightftp,aflnet,2,l_abs,696
1761460590,lightftp,aflnet,2,b_per,41.6
1761460590,lightftp,aflnet,2,b_abs,325
1761460649,lightftp,aflnet,2,l_per,61.7
1761460649,lightftp,aflnet,2,l_abs,696
1761460649,lightftp,aflnet,2,b_per,41.6
1761460649,lightftp,aflnet,2,b_abs,325
1761460847,lightftp,aflnet,2,l_per,61.7
1761460847,lightftp,aflnet,2,l_abs,696
1761460847,lightftp,aflnet,2,b_per,41.6
1761460847,lightftp,aflnet,2,b_abs,325
1761460924,lightftp,aflnet,2,l_per,61.7
1761460924,lightftp,aflnet,2,l_abs,696
1761460924,lightftp,aflnet,2,b_per,41.6
1761460924,lightftp,aflnet,2,b_abs,325
1761461165,lightftp,aflnet,2,l_per,62.5
1761461165,lightftp,aflnet,2,l_abs,705
1761461165,lightftp,aflnet,2,b_per,42.2
1761461165,lightftp,aflnet,2,b_abs,330
1761461188,lightftp,aflnet,2,l_per,62.5
1761461188,lightftp,aflnet,2,l_abs,705
1761461188,lightftp,aflnet,2,b_per,42.2
1761461188,lightftp,aflnet,2,b_abs,330
1761457623,lightftp,aflnet,3,l_per,37.1
1761457623,lightftp,aflnet,3,l_abs,418
1761457623,lightftp,aflnet,3,b_per,20.8
1761457623,lightftp,aflnet,3,b_abs,163
1761457624,lightftp,aflnet,3,l_per,38.9
1761457624,lightftp,aflnet,3,l_abs,439
1761457624,lightftp,aflnet,3,b_per,23.1
1761457624,lightftp,aflnet,3,b_abs,181
1761457641,lightftp,aflnet,3,l_per,39.5
1761457641,lightftp,aflnet,3,l_abs,445
1761457641,lightftp,aflnet,3,b_per,24.4
1761457641,lightftp,aflnet,3,b_abs,191
1761457660,lightftp,aflnet,3,l_per,39.5
1761457660,lightftp,aflnet,3,l_abs,446
1761457660,lightftp,aflnet,3,b_per,24.8
1761457660,lightftp,aflnet,3,b_abs,194
